LID,VideoFile,Label,MLabeler,MLabelTime,ProjectID
0,MC16_2__0001_vid__192__2135__797__238__1036.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,50:12.8,MC16_2
1,MC16_2__0001_vid__292__10672__1014__350__1109.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,34:58.9,MC16_2
2,MC16_2__0001_vid__384__1158__1138__545__1113.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,53:41.7,MC16_2
3,MC16_2__0001_vid__404__7200__1252__850__926.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,09:55.4,MC16_2
4,MC16_2__0001_vid__535__2728__1534__673__835.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,04:34.0,MC16_2
5,MC16_2__0001_vid__556__3420__1568__752__976.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,43:57.1,MC16_2
6,MC16_2__0001_vid__583__618__1625__244__1118.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,36:58.1,MC16_2
7,MC16_2__0001_vid__655__1311__1795__664__790.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,08:36.1,MC16_2
8,MC16_2__0001_vid__667__1247__1801__517__1193.mp4,x,zack-Lenovo-ideapad-Y700-15ISK,50:02.4,MC16_2
9,MC16_2__0001_vid__686__1364__1814__770__923.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,17:02.6,MC16_2
10,MC16_2__0001_vid__714__799__1860__444__1013.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,30:08.2,MC16_2
11,MC16_2__0001_vid__740__1662__1939__454__1111.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,45:06.0,MC16_2
12,MC16_2__0001_vid__754__1611__1977__379__241.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,37:55.3,MC16_2
13,MC16_2__0001_vid__756__2293__1981__300__1011.mp4,f,zack-Lenovo-ideapad-Y700-15ISK,07:05.8,MC16_2
14,MC16_2__0001_vid__807__8119__2063__657__1039.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,57:52.7,MC16_2
15,MC16_2__0001_vid__822__5661__2086__710__810.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,41:37.2,MC16_2
16,MC16_2__0001_vid__864__3243__2199__339__1081.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,11:37.1,MC16_2
17,MC16_2__0001_vid__918__8006__2387__560__174.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,53:32.0,MC16_2
18,MC16_2__0001_vid__931__1296__2411__582__802.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,47:51.6,MC16_2
19,MC16_2__0001_vid__968__1845__2482__744__415.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,00:44.4,MC16_2
20,MC16_2__0001_vid__1005__1417__2569__749__801.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,48:37.6,MC16_2
21,MC16_2__0001_vid__1099__4321__2728__386__786.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,29:38.2,MC16_2
22,MC16_2__0001_vid__1100__6922__2735__491__971.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,46:25.6,MC16_2
23,MC16_2__0001_vid__1122__5619__2760__275__871.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,31:47.6,MC16_2
24,MC16_2__0001_vid__1124__1126__2762__253__1028.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,53:16.4,MC16_2
25,MC16_2__0001_vid__1127__9860__2764__386__1110.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,48:10.0,MC16_2
26,MC16_2__0001_vid__1143__5989__2802__815__844.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,09:03.6,MC16_2
